lat,lon,HFO_s,DRO_s,ECO_S_s
67.5,-69.868,0,2.3,5.0
32.045,48.75,3.9,2.6,5.0
60.227,-120.609,0,2.2,2.7
-68.864,45.315,0,0,0
60.227,75.838,1.6,2.4,2.6
17.955,15.02,2.5,5.0,4.1
29.773,33.179,2.0,5.0,5.0
51.591,44.178,2.3,1.7,5.0
72.045,-46.286,,,
7.045,9.835,2.9,1.1,3.3
67.045,90.291,1.0,1.6,2.1
-27.045,-61.867,3.4,0.9,5.0
64.318,119.302,1.6,2.9,3.4
48.864,-90.345,1.0,1.7,5.0
17.045,75.515,3.9,1.5,4.9
-3.409,15.455,1.6,0.9,2.1
66.136,42.056,0,1.3,5.0
-13.864,-68.727,2.9,0.9,1.3
13.864,39.273,3.3,2.2,4.7
-17.5,138.626,2.6,2.2,5.0
32.045,1.071,2.6,2.0,5.0
60.227,143.452,1.0,2.1,4.1
-0.682,21.564,1.6,0.7,1.4
61.136,-146.162,2.5,1.3,1.9
33.409,89.728,0,0.9,5.0
-4.773,21.163,0,0.9,5.0
1.591,13.846,1.6,1.1,2.3
-33.409,-57.1,3.5,1.1,5.0
-37.955,-59.233,2.3,1.2,5.0
7.045,-72.961,3.6,1.5,4.4
40.227,-89.703,4.2,1.4,5.0
50.682,-101.272,2.0,1.9,2.9
75.682,60.612,0,3.4,2.4
39.773,110.361,3.0,2.5,5.0
22.955,24.87,0,5.0,5.0
-80.682,50.625,0,0,0
-3.409,121.364,1.0,1.0,4.7
-79.773,-131.489,0,0,0
4.318,47.56,2.3,2.1,5.0
56.136,87.964,2.5,2.3,2.5
32.045,21.964,0,3.3,5.0
-19.318,-43.017,3.6,1.4,5.0
-17.5,-57.781,2.3,0.9,0.7
-85.227,-32.727,0,0,0
-6.591,-42.487,3.2,1.3,4.3
72.045,-116.816,0,2.2,5.0
44.773,20.782,3.1,1.8,3.5
-23.409,-57.857,3.2,0.8,5.0
65.682,139.266,1.6,2.5,3.0
-14.318,-48.453,2.3,1.1,5.0
59.318,-118.667,0,2.3,4.3
-12.955,-64.036,3.1,0.7,1.7
-20.682,14.07,1.0,3.1,4.6
32.5,8.879,1.0,2.1,3.9
43.864,-79.93,3.3,1.0,4.6
29.318,-107.688,1.0,2.5,2.6
68.864,117.063,0,2.2,2.3
41.136,93.166,1.6,1.3,5.0
26.591,2.793,2.3,5.0,5.0
-20.227,141.29,3.1,3.6,5.0
22.045,81.061,3.3,1.0,5.0
15.227,25.647,2.5,3.6,5.0
-16.136,137.48,0,0,0
38.864,55.34,2.5,1.9,4.7
18.409,-96.335,4.0,1.4,3.5
6.591,34.264,3.0,1.6,1.3
-12.5,33.213,2.6,1.6,0.6
-28.409,-67.049,2.3,2.6,1.3
-22.045,141.306,3.3,3.5,3.4
28.864,33.41,2.3,4.5,5.0
62.045,117.097,1.6,3.2,3.3
-79.773,52.34,0,0,0
52.955,118.996,2.0,2.1,5.0
25.682,70.238,3.9,3.0,2.6
-40.227,-71.287,1.0,1.1,1.4
-75.682,-1.837,0,0,0
47.955,-66.102,0,0,0
34.318,-115.145,1.0,1.8,1.1
3.864,31.818,2.0,1.3,3.0
47.045,90.166,2.0,2.2,5.0
25.227,4.011,2.3,5.0,5.0
-16.591,-44.053,3.2,1.2,5.0
48.409,11.271,3.6,2.0,3.5
22.955,107.114,4.4,1.4,5.0
43.864,129.021,3.1,2.9,5.0
41.136,44.322,3.8,2.3,4.8
23.409,39.066,1.6,4.7,5.0
-82.045,16.364,0,0,0
-19.318,127.13,1.0,4.6,5.0
-12.955,-46.339,2.6,1.2,4.3
-34.318,-63.481,3.1,1.2,5.0
-20.682,33.477,3.2,1.3,1.0
44.318,-83.662,1.0,1.1,4.2
-22.955,122.38,1.6,3.7,2.5
46.591,136.404,3.5,2.1,2.3
-69.318,138.857,0,0,0
-10.227,-70.294,2.9,0.7,0.3
49.318,-76.944,1.6,1.2,5.0
37.5,-83.847,4.1,1.2,5.0
21.136,82.216,3.3,1.0,3.6
43.409,55.0,0,2.2,0.9
-9.773,23.018,2.0,0.9,4.5
51.136,135.904,2.6,2.4,2.5
8.409,13.07,2.3,1.3,2.4
53.409,117.59,2.0,2.3,5.0
34.318,94.809,2.0,1.0,5.0
35.227,-111.667,1.0,2.6,5.0
29.318,35.376,3.1,3.2,2.5
47.955,81.695,1.0,2.5,5.0
-26.136,20.73,0,2.5,1.9
-69.773,-64.38,0,0,0
53.409,-100.846,2.3,2.3,1.6
-72.5,61.004,0,0,0
-79.318,-126.122,0,0,0
-76.591,101.739,0,0,0
-84.773,85.0,0,0,0
-17.045,34.195,3.3,1.5,1.4
21.591,74.146,4.0,1.9,4.2
45.227,76.959,2.0,2.7,4.2
64.773,38.343,0,0,0
14.773,98.331,3.4,1.0,0.3
41.591,110.185,1.0,2.7,5.0
-81.591,148.966,0,0,0
-16.591,124.105,2.0,1.4,5.0
-86.136,-64.528,0,0,0
-2.955,11.364,1.0,1.6,2.3
35.227,-0.556,2.5,3.4,3.8
-9.318,15.402,2.3,1.8,5.0
-20.682,-55.31,2.0,1.1,4.4
22.955,112.531,4.7,1.3,5.0
-77.955,-34.699,0,0,0
-0.682,37.453,3.9,1.7,1.9
-32.045,151.607,3.5,1.0,2.5
-0.682,32.459,0,0,0
-41.591,-68.297,0,2.6,5.0
-3.409,-75.909,2.8,0.5,1.1
-3.409,28.636,1.0,1.2,5.0
7.5,30.877,2.6,2.0,2.7
-2.5,-76.494,2.8,0.5,1.1
-2.045,28.827,2.0,1.3,2.5
27.045,35.898,0,0,5.0
38.864,107.184,3.1,1.8,5.0
-79.773,-82.979,0,0,0
4.773,7.054,3.0,0.9,2.3
-30.682,135.66,1.6,3.4,5.0
51.591,-125.963,1.0,1.3,5.0
57.5,121.69,2.0,2.6,2.9
-18.409,36.574,2.8,1.4,0
-34.318,-59.634,3.5,1.2,3.9
-69.318,83.571,0,0,0
-16.591,45.0,2.5,1.3,5.0
9.318,28.736,2.0,1.7,3.3
48.409,121.252,3.1,1.7,5.0
60.227,101.421,1.0,2.3,4.3
49.773,-73.828,1.0,1.5,5.0
80.227,20.0,0,1.4,0
-32.5,125.112,0,0.8,0.4
10.227,29.731,2.5,2.2,3.5
-0.227,40.631,3.6,1.8,5.0
32.5,-112.735,2.6,1.6,2.7
0.227,-57.427,1.6,1.1,0
46.136,108.0,0,1.5,5.0
-26.591,29.196,2.9,1.7,5.0
-22.045,22.286,1.0,5.0,0.3
-85.227,114.545,0,0,0
10.682,18.462,3.1,2.0,1.9
-78.409,-123.396,0,0,0
-1.591,13.846,1.0,0.9,3.4
-73.409,95.947,0,0,0
-31.136,150.309,3.8,1.1,4.3
